tweets,labels,predictions
attempt by to minimize coronavirus has not aged well according to there are over 215 cases amp 14 deaths including 56 new cases today due to lack of testing by administration we still do not know extent of the virus spread,there are over 215 cases amp 14 deaths including 56 new cases today.,attempt by to minimize coronavirus has not aged well.there are over 215 cases
"Now I get it from #Fauci #COVID19 Hydroxychloroquine ➡️ cures ➡️ anecdotal

Social distancing ➡️   Fewer cases ➡️ proof what we are doing is working",Hydroxychloroquine  cures  anecdotal.Social distancing  Fewer cases  proof what we are doing is working.,Hydroxychloroquine  cures  anecdotal
RT @biancacuales: letsgo QC kids we are #immune #virusproof 🤡 coronavirus whO?¿ #studiesfirst 😽👊🏽 acads &gt; health,QC kids we are #immune #virusproof  coronavirus.,we are #immune #virusproof.
"Help is on the way for people that were offended by Hobby Lobby’s ‘offensive’ cotton decoration. do not forget to send me your paper currency pic.twitter.com/u0ON7QPAkD — MAGAmike (@jmsb1955) September 18, 2017",Help is on the way for people that were offended by Hobby Lobby’s ‘offensive’ cotton decoration.,Help is on the way for people that were offended by Hobby Lobby’s ‘of
"@ann_cannon @lsfarmer311 Keep drinking that bleach kids and no doubt you will be cured. you will be dead, but at least you will not catch that nasty coronavirus",Keep drinking that bleach kids and no doubt you will be cured.,you will be cured.you will be dead.you will not catch that nasty coron
"#Foxnews is treating the #Covid19 #pandemic likes its a #Church charity #bakesale to replace granny's porch .. saying ""most people are immune to it anyways, its only like the flu"" .. This crap is what Trump listens to and promotes .. #Desantis wants Church get togethers #Florida","""most people are immune to it.its only like the flu.",#Foxnews is treating the #Covid19 #pandemic likes its
28 coronaoutbreak cases thus far in india italian tourists 16 their driver 1 kerala 3 cureddischarged agra 6 delhi 1 noida school dad telangana 1 coronavirusindia,28 coronaoutbreak cases thus far in india.,28 coronaoutbreak cases thus far in india italian tourists 16 their driver 1 ker
Hey idiots he said LIGHT DISINFECTANT as in the use of Ultraviolet light treatment. But you go right ahead and do what you think he said. It might cure your TDS #disinfectant #idiots Covid 19 #COVIDIOTS,he said LIGHT DISINFECTANT as in the use of Ultraviolet light treatment.It might cure your TDS.,he said LIGHT DISINFECTANT as in the use of Ultraviole
"Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus. Mix 3 Parts water 1 part cleaning vinegar, boil it until your house is steamy. It kills bacteria in the air and brings it down to ground level we have also been told n95 masks work wash",Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus.It kills bacteria in the air and brings it down to ground level.,Simple vinegar can help you protect your home against viruses like the Airborne Coronavirus.It
"Studies on #hydroxychloroquine are problematic, says prof. 'Evidence does not back it up': Guelph prof says drug touted as #coronavirus cure could do more harm than good",Studies on #hydroxychloroquine are problematic.drug touted as #coronavirus cure could do more harm than good.,studies on #hydroxychloroquine are problematic.
RT @CHIZMAGA: Hillary Clinton is immune from the Coronavirus because it only attacks people with a soul,Hillary Clinton is immune from the Coronavirus.it only attacks people with a soul.,Hillary Clinton is immune from the Coronavirus because it only attacks people with a soul.
"A Quran stained with the blood of children massacred in a US drone strike in Somalia that destroyed a Qur’an school and a Hospital. pic.twitter.com/qDBdWh0RdO — muslim daily (@BirdsOfJannah) September 20, 2018",A Quran stained with the blood of children massacred in a US drone strike in Somalia that destroyed a Qur’an school and a Hospital.,A Quran stained with the blood of children massacred in a US drone strike in Somali
still rumors are more contagious than coronaperiod coronavirusoutbreak,rumors are more contagious than coronaperiod.,still rumors are more contagious than coronaperiod.
@AnonsSynonymous @DianaGLCPA @realDonaldTrump Our vaccines come from China too. Lord knows what they have put in them,vaccines come from China too.,Our vaccines come from China.
"#COVID2019 can be carried by anyone: a US citizen, a Japanese tourist, an undocumented youth, or a Member of Congress. #Coronavirus doesnât care about your party, gender or religion. It is not Chinese, itâs a virus. Below are some myth busters from WHO","#COVID2019 can be carried by anyone.#Coronavirus doesnât care about your party, gender or religion. It is not Chinese, itâs a virus.",#COVID2019 can be carried by anyone.#Coronavirus doesnâ
"#CCPVIRUS #CORONAVIRUSTRUTH #CORONAVIRUS #COVID19 #DISCLOSURE #CHINA #BIOWEAPON #12MONKEYS
CONSPIRACY REALITY: Suspected SARS Virus and Flu Samples Found in Luggage: FBI Report Describes China's 'Biosecurity Risk",Suspected SARS Virus and Flu Samples Found in Luggage.,Suspected SARS Virus and Flu Samples Found in Luggage: FBI Report
trumps decision to do nothin and call covid19 a hoax needlessly exposed millions that might have taken action if properly made aware there will be a river of blood that will forever stain trumps tiny hands,trumps decision to do nothin and call covid19 a hoax needlessly exposed millions.,trumps decision to do nothin and call covid19 a hoax
"RT @DanLaMorte: if injecting bleach really beats coronavirus, sammy sosa had the cure","injecting bleach really beats coronavirus, sammy sosa had the cure.","if injecting bleach really beats coronavirus, sammy sos"
@ahmaddaniel_22 Kononnya the cure i.e social distancing (which impairs people’s freedom of movement) is worse than #COVID19,social distancing (which impairs people’s freedom of movement) is worse than #COVID19.,Kononnya the cure i.e social distancing (which impairs
"Got my disenfectant from Amazon.According to the EPA Quaternery ammoniun kills coronavirus. (Not for skin but surfaces). Also, it is 1 tablet for  1.5 gallon. that is 150 gallons of product.  I was sick and tired of looking for disenfectant spray and now I have it. #COVID19",ammoniun kills coronavirus. (Not for skin but surfaces.,Quaternery ammoniun kills coronavirus.it is 1 tablet for
"Protect yourself against #COVID19 with common-sense precautions like proper hand-washing and surface disinfection techniques. Beware of people selling “cure-all” remedies and vaccines, and remember ... if it sounds too good to be true, it probably is",Beware of people selling “cure-all” remedies and vaccines.,Protect yourself against #COVID19 with common-sense precautions like proper hand-
breaking there have now been more than 100000 coronavirus cases worldwide 3398 people have died of covid19 and 55672 people have recovered,there have now been more than 100000 coronavirus cases worldwide 3398 people have died of covid19 and 55672 people have recovered.,there have now been more than 100000 coronavirus cases worldwide.3398 people have
Why are we still shut down? We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.  99% cure rate.  How is it different than treating flu with Tamiflu? Serious questions,We have a treatment for #COVID19 - hydroxychloroqiun + Zpac or Zinc.99% cure rate.,We have a treatment for #COVID19 - hydroxychloroq
"I would not mind being infected with #coronavirus, and I get immune to it.
I think I will not die though I get infected",I will not die though I get infected.,I get immune to it.
"When do these women start pledging to get Constitutional equality for women? It is impossible to get equal pay without the #ERA. It is impossible to shift the rape culture without #ERA. WAKE UP 35 States allow police to rape someone in their custody & claim it was consensual. pic.twitter.com/TwxP6TKP1a — Rethinking Eve (@RethinkingEve) February 8, 2018",It is impossible to get equal pay without the #ERA.It is impossible to shift the rape culture without #ERA.States allow police to rape someone in their custody & claim it was consensual.,It is impossible to get equal pay without the #ERA.It is impossible to shift the
@DerrickByford @afneil Because there is no cure or vaccine for Covid-19. You can provide some protection from by the flu vaccine,there is no cure or vaccine for Covid-19.You can provide some protection from by the flu vaccine.,there is no cure or vaccine for Covid-19.
"@Lostinram @QueenDandelion2 Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies, it would do both: prevent AND cure.  This is why Boris Johnson lives to be stupid another day, and why The Hate Yam wears a smug 'duping-delight' smile as he says he will not take precautions. #Antibodies",Yeah it is an infusion of plasma containing the appropriate #Covid19 antibodies.it would do both: prevent AND cure.,"it is an infusion of plasma containing the appropriate #Covid19 antibodies, it would"
"#VIDEO: The circling area around Holy Kaaba at the Holy Mosque in #Makkah was emptied of people temporarily in order to clean and sterilize it, due to #Coronavirus fears and to insure the safety of pilgrims",The circling area around Holy Kaaba at the Holy Mosque in #Makkah was emptied of people temporarily in order to clean and sterilize it.,The circling area around Holy Kaaba at the Holy Mosque in #Makka
